Año;Código de subpartida;Subpartida de gasto;Procedimientos iniciados;Procedimientos adjudicados;Monto adjudicado en colones;Porcentaje
2020;50105;Equipo y programas de cómputo //(2019) Equipo de cómputo;3367;1157;31616821456;2.8
2020;19904;Gastos de misiones especiales en el exterior;3;3;21619403;0
2020;20401;Herramientas e instrumentos;9852;1036;2060643495;0.18
2020;10303;Impresión, encuadernación y otros;843;308;585768567;0.05
2020;10902;Impuestos sobre bienes inmuebles;1;1;1000000;0
2020;10301;Información;975;539;4015917996;0.36
2020;50207;Instalaciones;656;370;75174559167;6.67
2020;20303;Madera y sus derivados;1239;299;250564569;0.02
2020;10801;Mantenimiento de edificios, locales y terrenos;2758;1149;21068239471;1.87
2020;10803;Mantenimiento de instalaciones y otras obras;852;461;10209087708;0.91
2020;10802;Mantenimiento de vías de comunicación;152;112;23010650045;2.04
2020;10808;Mantenimiento y reparación de equipo de cómputo y sistemas de información;1248;629;12328167876;1.09
2020;10806;Mantenimiento y reparación de equipo de comunicación;381;169;2054330396;0.18
2020;10805;Mantenimiento y reparación de equipo de transporte;6415;2908;9159733373;0.81
2020;10807;Mantenimiento y reparación de equipo y mobiliario de oficina;1188;377;2321504469;0.21
2020;10804;Mantenimiento y reparación de maquinaria y equipo de producción;2663;1190;3751799673;0.33
2020;10899;Mantenimiento y reparación de otros equipos;4548;1252;8527503962;0.76
2020;50199;Maquinaria, equipo y mobiliario diverso;4495;1474;12536876118;1.11
2020;50101;Maquinaria y equipo para la producción;2535;633;13328503282;1.18
2020;20501;Materia prima;252;47;12530152986;1.11
2020;20306;Materiales y productos de plástico;6664;623;1296925880;0.12
2020;20305;Materiales y productos de vidrio;244;76;51276618;0
2020;20304;Materiales y productos eléctricos, telefónicos y de cómputo;10328;991;6367431632;0.56
2020;20301;Materiales y productos metálicos;11649;1076;4312737259;0.38
2020;20302;Materiales y productos minerales y asfálticos;4869;931;10255416058;0.91
2020;99999;No afecta presupuesto institucional;3;3;4257439;0
2020;10603;Obligaciones por contratos de seguros;2389;769;2290473804;0.2
2020;50204;Obras marítimas y fluviales;10;4;1301666051;0.12
2020;50206;Obras urbanísticas;12;5;45843793;0
2020;50299;Otras construcciones, adiciones y mejoras;1308;556;25067108462;2.22
2020;50399;Otras obras preexistentes;2;2;11934873;0
2020;60399;Otras prestaciones;35;8;22443364;0
2020;10199;Otros alquileres;144;69;675756353;0.06
2020;59999;Otros bienes duraderos;269;54;1874419436;0.17
